comm,loans,bad,bad_rate,members
943,1,0,0.0,3
942,1,0,0.0,4
941,6,0,0.0,14
940,5,0,0.0,11
939,3,0,0.0,5
938,2,0,0.0,6
937,1,0,0.0,3
936,1,0,0.0,3
935,1,0,0.0,4
944,1,0,0.0,3
977,3,0,0.0,6
976,13,0,0.0,29
975,52,0,0.0,109
974,23,0,0.0,44
973,1,0,0.0,4
972,4,0,0.0,9
971,7,0,0.0,19
969,1,0,0.0,3
968,1,0,0.0,4
955,5,0,0.0,7
965,9,0,0.0,17
964,1,0,0.0,3
963,2,0,0.0,6
962,6,0,0.0,10
961,11,0,0.0,20
960,1,0,0.0,3
959,1,0,0.0,4
958,1,0,0.0,4
894,1,0,0.0,3
956,1,0,0.0,3
966,1,0,0.0,3
783,5,0,0.0,9
782,2,0,0.0,5
781,1,0,0.0,4
779,1,0,0.0,4
778,5,0,0.0,9
777,1,0,0.0,3
776,6,0,0.0,9
775,3,0,0.0,8
774,1,0,0.0,3
1019,2,0,0.0,7
772,1,0,0.0,4
771,3,0,0.0,8
770,1,0,0.0,3
769,6,0,0.0,13
768,1,0,0.0,4
767,2,0,0.0,4
766,1,0,0.0,3
765,64,0,0.0,136
764,2,0,0.0,4
773,1,0,0.0,3
806,2,0,0.0,4
804,68,0,0.0,113
803,1,0,0.0,3
802,1,0,0.0,4
800,2,0,0.0,5
799,5,0,0.0,10
798,9,0,0.0,19
797,9,0,0.0,19
796,3,0,0.0,7
785,3,0,0.0,7
794,1,0,0.0,3
793,1,0,0.0,3
792,4,0,0.0,9
791,2,0,0.0,6
790,4,0,0.0,8
789,1,0,0.0,3
788,1,0,0.0,3
787,1,0,0.0,3
786,2,0,0.0,6
795,3,0,0.0,7
740,5,0,0.0,12
739,3,0,0.0,8
738,1,0,0.0,3
737,4,0,0.0,6
736,8,0,0.0,16
735,5,0,0.0,13
734,1,0,0.0,3
733,2,0,0.0,5
732,1,0,0.0,4
763,21,0,0.0,32
730,4,0,0.0,11
729,1,0,0.0,3
728,7,0,0.0,12
727,7,0,0.0,13
726,2,0,0.0,6
725,59,0,0.0,126
724,2,0,0.0,4
723,4,0,0.0,8
722,2,0,0.0,4
731,2,0,0.0,6
762,6,0,0.0,12
761,11,0,0.0,19
760,2,0,0.0,6
759,117,0,0.0,226
758,3,0,0.0,3
757,13,0,0.0,27
756,3,0,0.0,8
755,5,0,0.0,10
754,48,0,0.0,79
741,1,0,0.0,3
752,1,0,0.0,3
750,8,0,0.0,15
749,1,0,0.0,4
748,1,0,0.0,4
747,2,0,0.0,6
746,1,0,0.0,3
745,13,0,0.0,26
744,2,0,0.0,6
743,1,0,0.0,4
742,1,0,0.0,3
753,4,0,0.0,11
872,22,0,0.0,43
870,1,0,0.0,3
869,1,0,0.0,3
868,2,0,0.0,5
866,4,0,0.0,10
865,1,0,0.0,3
864,4,0,0.0,11
863,2,0,0.0,4
861,8,0,0.0,18
807,1,0,0.0,3
859,1,0,0.0,3
858,2,0,0.0,5
857,1,0,0.0,4
856,8,0,0.0,14
855,1,0,0.0,3
854,5,0,0.0,12
853,1,0,0.0,4
852,9,0,0.0,20
850,1,0,0.0,4
860,1,0,0.0,3
893,1,0,0.0,4
892,1,0,0.0,4
891,1,0,0.0,3
890,66,0,0.0,117
889,1,0,0.0,4
888,6,0,0.0,12
887,2,0,0.0,3
886,2,0,0.0,5
885,2,0,0.0,5
873,1,0,0.0,3
883,5,0,0.0,10
882,4,0,0.0,10
881,4,0,0.0,8
880,1,0,0.0,4
879,4,0,0.0,9
878,13,0,0.0,26
877,1,0,0.0,4
876,6,0,0.0,8
875,1,0,0.0,4
874,1,0,0.0,4
884,1,0,0.0,3
827,5,0,0.0,9
826,1,0,0.0,1
825,4,0,0.0,10
823,1,0,0.0,3
822,1,0,0.0,3
821,4,0,0.0,8
820,1,0,0.0,3
819,1,0,0.0,4
818,7,0,0.0,11
849,3,0,0.0,7
816,1,0,0.0,3
815,1,0,0.0,3
814,22,0,0.0,45
813,1,0,0.0,3
812,1,0,0.0,3
811,2,0,0.0,6
810,1,0,0.0,4
809,2,0,0.0,5
808,1,0,0.0,3
817,4,0,0.0,11
848,1,0,0.0,3
847,4,0,0.0,11
846,1,0,0.0,2
845,5,0,0.0,14
844,2,0,0.0,5
843,9,0,0.0,22
842,5,0,0.0,13
841,1,0,0.0,4
840,2,0,0.0,6
828,1,0,0.0,3
838,1,0,0.0,3
837,4,0,0.0,12
836,1,0,0.0,4
835,6,0,0.0,10
834,2,0,0.0,5
833,2,0,0.0,5
832,2,0,0.0,6
831,3,0,0.0,9
830,2,0,0.0,6
829,1,0,0.0,3
839,3,0,0.0,3
1255,9,0,0.0,12
1254,9,0,0.0,17
1253,1,0,0.0,3
1252,5,0,0.0,13
1251,3,0,0.0,6
1250,1,0,0.0,3
1249,1,0,0.0,4
1248,1,0,0.0,4
1247,7,0,0.0,15
1050,1,0,0.0,3
1245,1,0,0.0,3
1244,1,0,0.0,3
1242,1,0,0.0,3
1241,5,0,0.0,10
1240,10,0,0.0,25
1239,1,0,0.0,4
1238,1,0,0.0,4
1237,1,0,0.0,3
1236,1,0,0.0,3
1246,62,0,0.0,116
1276,5,0,0.0,12
1275,15,0,0.0,31
1274,1,0,0.0,3
1273,4,0,0.0,9
1272,1,0,0.0,4
1271,1,0,0.0,4
1270,4,0,0.0,12
1269,1,0,0.0,3
1268,7,0,0.0,12
1256,3,0,0.0,7
1265,2,0,0.0,7
1264,3,0,0.0,7
1263,1,0,0.0,4
1262,1,0,0.0,3
1261,1,0,0.0,3
1260,1,0,0.0,3
1259,3,0,0.0,8
1258,3,0,0.0,8
1257,11,0,0.0,16
1267,1,0,0.0,3
1211,7,0,0.0,16
1210,1,0,0.0,3
1209,8,0,0.0,17
1208,2,0,0.0,5
1207,63,0,0.0,115
1206,1,0,0.0,4
1205,31,0,0.0,54
1203,1,0,0.0,3
1202,1,0,0.0,3
1235,1,0,0.0,4
1200,2,0,0.0,7
1199,4,0,0.0,10
1198,16,0,0.0,35
1197,3,0,0.0,7
1196,2,0,0.0,4
1195,1,0,0.0,4
1194,1,0,0.0,3
1193,1,0,0.0,3
1192,112,0,0.0,215
1201,1,0,0.0,3
1234,1,0,0.0,3
1232,1,0,0.0,4
1231,1,0,0.0,3
1230,3,0,0.0,8
1229,3,0,0.0,7
1228,2,0,0.0,5
1227,1,0,0.0,3
1226,2,0,0.0,6
1225,25,0,0.0,38
1212,1,0,0.0,4
1223,10,0,0.0,20
1222,2,0,0.0,5
1221,18,0,0.0,38
1220,6,0,0.0,14
1219,1,0,0.0,3
1218,1,0,0.0,4
1217,2,0,0.0,3
1216,4,0,0.0,10
1215,1,0,0.0,3
1213,1,0,0.0,3
1224,2,0,0.0,6
11,1,0,0.0,4
10,71,0,0.0,134
8,6,0,0.0,8
6,16,0,0.0,32
1333,2,0,0.0,6
1332,27,0,0.0,59
1331,1,0,0.0,3
1330,1,0,0.0,3
1329,1,0,0.0,4
1277,1,0,0.0,3
1327,1,0,0.0,3
1326,1,0,0.0,3
1325,1,0,0.0,4
1324,3,0,0.0,8
1323,1,0,0.0,4
1322,1,0,0.0,3
1321,1,0,0.0,4
1320,1,0,0.0,4
1319,2,0,0.0,4
1328,5,0,0.0,8
1348,1,0,0.0,4
1347,3,0,0.0,9
1346,1,0,0.0,3
1345,1,0,0.0,4
1344,1,0,0.0,3
1343,1,0,0.0,4
1342,1,0,0.0,3
1341,2,0,0.0,5
1340,3,0,0.0,7
13,68,0,0.0,121
1338,23,0,0.0,45
1337,2,0,0.0,5
1336,5,0,0.0,11
1335,1,0,0.0,4
0,5,0,0.0,8
1,1,0,0.0,3
20,1,0,0.0,2
17,1,0,0.0,3
16,2,0,0.0,6
15,1,0,0.0,2
1339,2,0,0.0,4
1296,1,0,0.0,3
1295,2,0,0.0,7
1294,1,0,0.0,4
1293,1,0,0.0,4
1292,10,0,0.0,21
1291,2,0,0.0,6
1290,44,0,0.0,88
1289,1,0,0.0,4
1288,3,0,0.0,8
1318,1,0,0.0,4
1286,1,0,0.0,3
1285,8,0,0.0,17
1284,1,0,0.0,4
1283,49,0,0.0,97
1282,1,0,0.0,3
1281,2,0,0.0,7
1280,1,0,0.0,4
1279,14,0,0.0,31
1278,8,0,0.0,18
1287,1,0,0.0,3
1317,1,0,0.0,3
1316,1,0,0.0,3
1315,1,0,0.0,4
1314,1,0,0.0,3
1313,5,0,0.0,13
1312,1,0,0.0,3
1311,1,0,0.0,3
1310,5,0,0.0,12
1309,2,0,0.0,7
1297,1,0,0.0,3
1307,1,0,0.0,4
1306,1,0,0.0,3
1305,2,0,0.0,5
1304,1,0,0.0,3
1303,3,0,0.0,9
1302,4,0,0.0,8
1301,1,0,0.0,3
1300,2,0,0.0,6
1299,5,0,0.0,7
1298,4,0,0.0,9
1308,1,0,0.0,4
1082,1,0,0.0,4
1081,4,0,0.0,9
1080,73,0,0.0,144
1079,3,0,0.0,8
1078,1,0,0.0,3
1077,1,0,0.0,3
1076,3,0,0.0,7
1075,4,0,0.0,10
1074,3,0,0.0,8
1191,1,0,0.0,1
1072,1,0,0.0,3
1071,1,0,0.0,3
1070,2,0,0.0,6
1069,15,0,0.0,31
1068,9,0,0.0,14
1067,40,0,0.0,72
1066,2,0,0.0,6
1065,3,0,0.0,7
1064,4,0,0.0,8
1073,1,0,0.0,3
1103,2,0,0.0,5
1102,8,0,0.0,14
1101,4,0,0.0,10
