,0
b_prior_loans,0.045965355
b_prior_writeoff,0.05213425
log_amount,0.07585973
salary,0.07997664
savings,0.087812915
loan_to_savings,0.088901654
g_mean_salary,0.09273041
g_mean_savings,0.09817548
loan_to_salary,0.18788663
g_prior_default_rate,0.19055693
