,0
b_prior_loans,0.014148078
b_prior_writeoff,0.051346235
g_prior_default_rate,0.31212625
log_amount,0.32521352
savings,0.4199669
loan_to_savings,0.4887314
salary,0.5064841
g_mean_savings,0.64391077
g_mean_salary,0.70034194
loan_to_salary,1.2970334
