max_depth,min_samples_leaf,cv_pr_auc,std,rank
,3,0.486,0.053,1
,5,0.485,0.051,2
,10,0.47,0.063,3
,20,0.447,0.073,4
8.0,10,0.441,0.076,5
8.0,20,0.437,0.071,6
8.0,5,0.429,0.07,7
6.0,20,0.412,0.079,8
6.0,10,0.404,0.084,9
8.0,3,0.403,0.072,10
,50,0.401,0.079,11
8.0,50,0.391,0.084,12
4.0,10,0.382,0.069,13
6.0,5,0.378,0.083,14
6.0,50,0.378,0.081,15
4.0,20,0.377,0.075,16
6.0,3,0.374,0.084,17
4.0,5,0.366,0.077,18
4.0,3,0.357,0.077,19
4.0,50,0.357,0.089,20
