max_depth,min_samples_leaf,cv_pr_auc,std,rank
8,20,0.347,0.088,1
8,10,0.311,0.102,2
6,20,0.271,0.066,3
8,5,0.255,0.083,4
8,50,0.251,0.04,5
6,50,0.242,0.035,6
6,10,0.241,0.101,7
5,50,0.234,0.048,8
6,5,0.214,0.061,9
4,50,0.208,0.041,10
5,10,0.19,0.063,11
5,5,0.187,0.06,12
5,20,0.183,0.056,13
3,50,0.181,0.03,14
4,10,0.147,0.059,15
4,5,0.147,0.059,15
4,20,0.146,0.059,17
3,5,0.126,0.043,18
3,10,0.126,0.043,18
3,20,0.126,0.043,18
