strategy,pr_auc,roc_auc
class_weight,0.602,0.945
BorderlineSMOTE,0.517,0.941
SMOTE,0.505,0.943
SMOTETomek,0.501,0.946
ADASYN,0.496,0.942
undersample,0.446,0.942
