model,features,settings_tried,cv_pr_auc,roc_auc,f1,precision,recall,accuracy,best_params
xgboost,borrower_only,24,0.612,0.927,0.583,0.631,0.545,0.984,"{'clf__learning_rate': 0.15, 'clf__max_depth': 4, 'clf__n_estimators': 500}"
random_forest,borrower_plus_network,20,0.486,0.954,0.441,0.702,0.325,0.983,"{'clf__max_depth': None, 'clf__min_samples_leaf': 3}"
decision_tree,borrower_only,20,0.379,0.881,0.239,0.143,0.795,0.896,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 10}"
neural_net,borrower_plus_network,20,0.35,0.886,0.252,0.69,0.159,0.981,"{'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (64, 32)}"
logistic_regression,borrower_plus_network,20,0.346,0.891,0.216,0.57,0.137,0.98,"{'clf__C': 0.3, 'clf__class_weight': None}"
